error	your_paper	your_year	citing_title	citing_year	citing_authors	citing_url
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	The functional task environment		WD Gray, H Neth, MJ Schoelles	https://kops.uni-konstanz.de/bitstreams/394a8a8e-e230-4080-a201-07239389044d/download
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	The computational basis of interactive skill		PP Maglio	https://search.proquest.com/openview/280a39ce4443b42564f723dd14b8d26a/1?pq-origsite=gscholar&cbl=18750&diss=y
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	Representing and learning routine activities		HH Hexmoor	https://search.proquest.com/openview/98fab709666eb57862e990fb7d76fe62/1?pq-origsite=gscholar&cbl=18750&diss=y
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	Representing the user: a sociological study of the discourse of human computer interaction		G Cooper	https://search.proquest.com/openview/9d8bd34c24448a0b08aaba355f46d663/1?pq-origsite=gscholar&cbl=2026366&diss=y
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	Proceedings of the 2001 Fourth International Conference on Cognitive Modeling		EM Altmann, A Cleeremans, CD Schunn, WD Gray	https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781410605979&type=googlepdf
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	The effects of strategic training on improving multiplication strategic development in children with math difficulties		D Zhang	https://search.proquest.com/openview/5f9869b1839f867a9122dee179de2094/1?pq-origsite=gscholar&cbl=18750
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	Representational redescription and the development of cognitive flexibility		MF Spensley	https://oro.open.ac.uk/56458/
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	Representational Change and the Use of Metaphors in Problem Solving: The Winding Roots of Understanding		B Angerer	https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781003313021&type=googlepdf
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	Computational Method for Understanding Complex Human Routine Behaviors		N Banovic	http://reports-archive.adm.cs.cmu.edu/anon/anon/usr0/ftp/usr/ftp/hcii/CMU-HCII-18-100.pdf
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	Implicit rule learning and the power law: A Soar model of skill acquisition in Scheduling		JNFER Josef, F Krems	https://acs.ist.psu.edu/misc/nottingham/sched.fer.html
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	Internal models of embodied dynamics: A computational theory of learning in routine interactive behavior		CR Sims	https://search.proquest.com/openview/e17c9edb8413e57336f71e5071d87377/1?pq-origsite=gscholar&cbl=18750
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	ESRC Centre for Research in Development, Instruction and Training		FE Ritter, NR Shadbolt, D Elliman, R Young, F Gobet…	https://www.academia.edu/download/30771749/mod-beh-sup-rev.pdf
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	Getting things in order: Collecting and analyzing data on learning		J Nerb	https://rauterberg.employee.id.tue.nl/amme/ritter-nerb-lehtinen-2007.pdf
missing_year	Routine Evolution as the Microgenetic Basis of Skill Acquistion	2022	The Acquisition of Robust and Flexible Cognitive Skills Niels A. Taatgen12, David Huss1, Daniel Dickison1, John R. Anderson1 1Carnegie Mellon University …		NA Taatgen12, D Huss, D Dickison, JR Anderson	https://www.ai.rug.nl/~niels/publications/FMS-JEPG.pdf
missing_year	A dynamical theory of the power-law of learning in problem-solving	2019	The adaptive character of thought		JR Anderson	https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203771730&type=googlepdf
missing_year	A dynamical theory of the power-law of learning in problem-solving	2019	A methodology and software environment for testing process model's sequential predictions with protocols		FE Ritter	https://apps.dtic.mil/sti/html/tr/ADA260980/
missing_year	A dynamical theory of the power-law of learning in problem-solving	2019	гП REFLECTIONS OF THE ENVIRONMENT IN MEMORY		JR Anderson, LJ Schooler	http://www.andrew.cmu.edu/course/85-412/Anderson%20Schooler.pdf
missing_year	A comparative analysis of Augmented Reality technologies and their marketability in the consumer electronics segment	2017	The Influence of AR Head-Mounted Displays on Spatial Perception and Worker Response in Construction Training		JW Withers	https://vtechworks.lib.vt.edu/items/48cc317f-7a5f-4ec9-b1ae-799b9a636dab
missing_year	A comparative analysis of Augmented Reality technologies and their marketability in the consumer electronics segment	2017	Decision-Making Support in Complex Multi-Actor and Multi-Source Scenarios		JOÁ Márquez	https://duepublico2.uni-due.de/servlets/MCRFileNodeServlet/duepublico_derivate_00078117/Diss_AlvarezMarquez.pdf
missing_year	A comparative analysis of Augmented Reality technologies and their marketability in the consumer electronics segment	2017	"The impacts and tradeoffs of technology, communism and inequality in the fiction of"" Brave New World"""		LA Roitman, E Roberts	
missing_year	On the privacy practices of just plain sites	2015	The Two Sides of Web Privacy: Defending Benign Users and Detecting Malicious Actors		O Starov	https://search.proquest.com/openview/8d2c9ca5d3837a2baac115c8fd1c97bb/1?pq-origsite=gscholar&cbl=18750&diss=y
missing_year	RAPPD: A language and prototype for recipient-accountable private personal data	2014	Designing People Analytics for Data Sovereigns		V Zieglmeier	https://mediatum.ub.tum.de/1720120
missing_year	Acquisition of Device Models in Instructionless Learning	2014	Machine learning: a guide to current research		TM Mitchell, JG Carbonell, RS Michalski	https://books.google.com/books?hl=en&lr=&id=I5GcpyPx3RwC&oi=fnd&pg=PR13&ots=ocx7MoosZm&sig=tbwM4OCFDPYCKCEBbU3RIjbbw6M
missing_year	Rapid learning for precision oncology	2014	GDPR requirements for biobanking activities across Europe		V Colcelli, R Cippitani, C Brochhausen-Delius…	https://link.springer.com/content/pdf/10.1007/978-3-031-42944-6.pdf
missing_year	Rapid learning for precision oncology	2014	Advances in Artificial Intelligence, Computation, and Data Science		TD Pham, H Yan, MW Ashraf, F Sjöberg	https://link.springer.com/content/pdf/10.1007/978-3-030-69951-2.pdf
missing_year	Rapid learning for precision oncology	2014	Predicting Individual Responses in Phase I Oncology Trials Using Routinely Collected Clinical Biomarkers		N Bhadra, M Boyd, S Smith, J Espirito, J Trent…	https://www.researchsquare.com/article/rs-4910461/latest
missing_year	Rapid learning for precision oncology	2014	Machine Learning for Prognostic Modeling in Head and Neck Cancer Using Multimodal Data		M Kazmierski	https://search.proquest.com/openview/2501b2706b7ea6d6c7c7527a45f25841/1?pq-origsite=gscholar&cbl=18750&diss=y
missing_year	Rapid learning for precision oncology	2014	Mitigating Burnout in an Oncological Unit: A Scoping Review		AR Omobolaji, H Päivi, E Mohammed, Y Omar…	https://www.utupub.fi/items/95b8619f-f775-4aef-a0ea-a980d6f5a490
missing_year	Rapid learning for precision oncology	2014	ADVANCES IN PERSONALIZED MEDICINE: HARNESSING GENOMICS AND PRECISION THERAPEUTICS		NR Kar	https://www.researchgate.net/profile/Nihar-Kar/publication/374420373_ADVANCES_IN_PERSONALIZED_MEDICINE_HARNESSING_GENOMICS_AND_PRECISION_THERAPEUTICS/links/651d30883ab6cb4ec6ba5801/ADVANCES-IN-PERSONALIZED-MEDICINE-HARNESSING-GENOMICS-AND-PRECISION-THERAPEUTICS.pdf
missing_year	Rapid learning for precision oncology	2014	A Machine Learning Challenge for Prognostic Modelling in Head and Neck Cancer Using Multi-modal Data		B Haibe-Kains, M Kazmierski, M Welch, S Kim…	https://www.researchsquare.com/article/rs-185311/latest
missing_year	Rapid learning for precision oncology	2014	A microplate co-culture assay comprising patient-derived 3D microtumors		M Bodenhöfer	https://bibliographie.uni-tuebingen.de/xmlui/bitstream/handle/10900/121842/Doktorarbeit_final_UB.pdf?sequence=2
missing_year	Rapid learning for precision oncology	2014	Will AI replace cancer geneticists?		N Mensah	https://www.nanamensah.co.uk/blog/ai-cancer-geneticists/
missing_year	Rapid learning for precision oncology	2014	Oligonucleotide probes and uses thereof		V DOMENYUK, T HORNUNG, M Miglarese, D Spetzler	https://patents.google.com/patent/WO2017205686A1/en
missing_year	Rapid learning for precision oncology	2014	18F-FDG PET/CT en Oncologie: Contribution à la Caractérisation Tumorale par Analyse Quantitative du Signal		P Lovinfosse	https://search.proquest.com/openview/d157673870cc5971974c11f60ad29f6a/1?pq-origsite=gscholar&cbl=2026366&diss=y
missing_year	Rapid learning for precision oncology	2014	Diritto e Processo		DI PERUGIA	https://www.rivistadirittoeprocesso.it/upload/Riviste/Rivista_2019.pdf
missing_year	Rapid learning for precision oncology	2014	Passport power		J Shrager	
missing_year	Blend me in: Privacy-preserving input generalization for personalized online services	2013	Coast services: achieving service customization and policy-based differential access in personal information systems		A Baquero Merino	https://escholarship.org/uc/item/9h97w18p
missing_year	Adding individual patient case data to the melanoma targeted therapy advisor	2013	Managing the Scarcity of Monitoring Data through Machine Learning in Healthcare Domain		A Maxhuni	https://tesidottorato.depositolegale.it/handle/20.500.14242/93849
missing_year	Adding individual patient case data to the melanoma targeted therapy advisor	2013	International Doctorate School in Information and Communication Technologies DISI-University of Trento		A Maxhuni, O Mayora, V Osmani, I Chlamatac	https://www.academia.edu/download/111196794/PhD-Thesis.pdf
missing_year	Adding individual patient case data to the melanoma targeted therapy advisor	2013	Methods, Policies and Technologies for Compliance-aware Management of electronic Health Records		J Stevovic	https://iris.unitn.it/handle/11572/368508
missing_year	Groups: knowledge spreadsheets for symbolic biocomputing	2013	Model-Driven Discovery Through a Whole-Cell Computational Model of Escherichia Coli		G Sun	https://search.proquest.com/openview/624989df3cdd8055461faa9b1b367e67/1?pq-origsite=gscholar&cbl=18750&diss=y
missing_year	Groups: knowledge spreadsheets for symbolic biocomputing	2013	Supporting Information for: RNA polymerases as moving barriers to condensin loop extrusion		HB Brandão, P Paul, A van den Berg, DZ Rudner…	https://www.scienceopen.com/document_file/0bdeae2b-ed68-493b-bb83-27a3ea033776/PubMedCentral/0bdeae2b-ed68-493b-bb83-27a3ea033776.pdf
missing_year	The Journey from Child to Scientist: Integrating Cognitive Development and the Education Sciences.	2012	Science, technology, engineering, and mathematics (STEM) curriculum and seventh grade mathematics and science achievement		JS James	https://search.proquest.com/openview/61de77ed22f8fd88e192e61330b7fd28/1?pq-origsite=gscholar&cbl=18750
missing_year	The Journey from Child to Scientist: Integrating Cognitive Development and the Education Sciences.	2012	Implementability of inquiry-based science education in the Foundation Phase classroom		L Bosman	https://search.proquest.com/openview/903bfc2146f1dd12ab2be72bcab6edc4/1?pq-origsite=gscholar&cbl=2026366&diss=y
missing_year	The Journey from Child to Scientist: Integrating Cognitive Development and the Education Sciences.	2012	MENTORING SCIENCE TEACHERS IN THE SECONDARY SCHOOL		S Salehjee	https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780429400308&type=googlepdf
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Predictive molecular blood biomarkers in non-small cell lung cancer		TM Hoseine, A Mohamadnia, M Mahmoodi, N Bahrami…	https://repository.brieflands.com/bitstreams/0df7c7ac-9bb6-4b04-845a-07480e50096f/download
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Machine Learning Methods to Identify Hidden Phenotypes in the Electronic Health Record		BK Beaulieu-Jones	https://search.proquest.com/openview/0c2933631be1ac40519b2e29923a5005/1?pq-origsite=gscholar&cbl=18750
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Crosstalk Between Cannabinoid Receptors and Epidermal Growth Factor Receptor in Non-Small Cell Lung Cancer		J Ravi	https://rave.ohiolink.edu/etdc/view?acc_num=osu1426697196
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Predicting potential drugs and drug-drug interactions for drug repositioning		F Wang	https://harvest.usask.ca/bitstream/10388/13821/1/WANG-DISSERTATION-2022.pdf
missing_year	A novel classification of lung cancer into molecular subtypes	2012	FACULTÉ DE MÉDECINE HENRI WAREMBOURG		C SIDORSKI	https://pepite-depot.univ-lille.fr/LIBRE/Th_Medecine/2024/2024ULILM103.pdf
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Klinische Validierung hochgradiger MET-Amplifikationen in nicht-kleinzelligen Lungenkarzinomen		DA Cron	https://ediss.uni-goettingen.de/handle/11858/15378
missing_year	A novel classification of lung cancer into molecular subtypes	2012	DEPARTAMENTO DE BIOLOGÍA MOLECULAR FACULTAD DE CIENCIAS UNIVERSIDAD AUTÓNOMA DE MADRID		CM Seseña, MJL Jimeno, G de Cárcer Díez	https://repositorio.uam.es/server/api/core/bitstreams/7ff59f6c-6038-4c0c-b87b-fc215a6b6dc4/content
missing_year	A novel classification of lung cancer into molecular subtypes	2012	In vitro construction of epidermal growth factor receptor kinase domain		M Zietse	
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Identification of Novel Proteins Interacting with LATS1/2 During Tumorigenesis and Anti-Tubulin Drug Response		B Yeung	https://qspace.library.queensu.ca/server/api/core/bitstreams/b9054e28-2e2e-47ca-a8df-fae1decd1a04/content
missing_year	A novel classification of lung cancer into molecular subtypes	2012	“Vicenin-2 acts as a radiosensitizer of the non-small cell lung cancer by lowering Akt		TJ Baruah, L Kma	https://www.researchgate.net/profile/Taranga-Baruah/publication/329287365_Vicenin-2_acts_as_a_radiosensitizer_of_the_non-small_cell_lung_cancer_by_lowering_Akt_expression_Vicenin-2_radiosensitises_non-small_cell_lung_cancer_via_Akt/links/60004ff2a6fdccdcb85193ca/Vicenin-2-acts-as-a-radiosensitizer-of-the-non-small-cell-lung-cancer-by-lowering-Akt-expression-Vicenin-2-radiosensitises-non-small-cell-lung-cancer-via-Akt.pdf
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Akciğer Kanserlerinde Likid Biyopsinin Prognostik ve Prediktif Rolü		T Göksel	https://search.proquest.com/openview/c44796f4e36a99c2d326a626098987f4/1?pq-origsite=gscholar&cbl=2026366&diss=y
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Development of Models for the Action of Novel Anti-apoptotic Proteins Using Gene Regulation, Pathway Analysis and Protein Structure Prediction		NT KItaba	https://search.proquest.com/openview/1e0483b844c1da95791ce31b6f808e2f/1?pq-origsite=gscholar&cbl=18750&diss=y
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Experimental evaluation of gene silencing as potential therapeutic option in the treatment of multiresistant Non-small-cell lung cancer		MG Stoleriu	https://bibliographie.uni-tuebingen.de/xmlui/bitstream/handle/10900/57307/Doctorat%20Mirceacorectat26oct.pdf?sequence=2
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Development and optimization of a methodology to synthetize chitosan/cetuximab conjugates for encapsulate siRNA and targeting to EGFR overexpressing …		JAP Mota	https://repositorio.cespu.pt/bitstream/handle/20.500.11816/368/Dissertacao%20-%20MSc%20TM%20-%20Jorge%20Mota%20FINAL.pdf?sequence=1
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Contribution of the integrative pathology to the discovery of biomarkers for non-small cell lung cancer: integrative pathology and lung cancer		MI Ilie	https://theses.hal.science/tel-00874504/
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Actionable gene expression based patient stratification for moleculr targeted therapy in HCC		JH Kwon, N Lee, JY Park, Y suk Yu, JP Kim, DS Kim…	https://poasis.postech.ac.kr/handle/2014.oak/12690
missing_year	A novel classification of lung cancer into molecular subtypes	2012	From cell surface to nucleus: Unraveling cancer metastasis and the role of nucleophosmin in breast cancer		PR Karhemo	https://helda.helsinki.fi/server/api/core/bitstreams/9fa43392-3273-481e-81cd-79428871c484/content
missing_year	A novel classification of lung cancer into molecular subtypes	2012	El rol de Chlamydophila pneumoniae en el cáncer de pulmón: una revisión sistemática		EE Paredes Cedeño	https://repositorio.uisek.edu.ec/handle/123456789/4863
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Tipos moleculares de carcinoma pulmonar en el Instituto Nacional de Enfermedades Neoplásicas en pacientes atendidos entre los años 2007 y 2013		CB Cornejo	https://dialnet.unirioja.es/servlet/tesis?codigo=339962
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Croton campestris A. St.-Hil.: atividades antitumoral e anti-inflamatória		PAM MAFRA	https://repositorio.unicamp.br/Busca/Download?codigoArquivo=488308&tipoMidia=0
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Médecine de précision et Médecine des systèmes: La médecine personnalisée se trompe-t-elle de cible?/Precision medicine and systems medicine: does …		M Darrason	https://www.academia.edu/download/56193565/983-6583-1-PB_Lato_Sensu.pdf
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Chromozómové prestavby u pacientov s pľúcnym adenokarcinómom–nové možnosti cielenej liečby		RNDK Hlinková	https://www.solen.sk/storage/file/article/60c72b3288731a1ea75c7a77310a0663.pdf
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Docteur en Sciences		ADELAP INTEGRATIVE	https://theses.hal.science/file/index/docid/874504/filename/2013NICE4042.pdf
missing_year	A novel classification of lung cancer into molecular subtypes	2012	Du chromosome au gène par un criblage global des altérations génomiques dans la malignité pour isoler de nouvelles cibles thérapeutiques		S Toujani	https://theses.hal.science/tel-01084902/
missing_year	Responses of psbA, hli and ptox genes to changes in irradiance in marine Synechococcus and Prochlorococcus	2011	Variation in photosynthetic electron requirements for carbon fixation by Dunaliella tertiolecta during transient phases with different phosphorus availability.		Y Lei	https://studenttheses.uu.nl/handle/20.500.12932/31667
missing_year	Responses of psbA, hli and ptox genes to changes in irradiance in marine Synechococcus and Prochlorococcus	2011	Photosynthetic gene expression responses of Prochlorococcus wild population to changing environmental factors: the role of persistent organic pollutants		MC Fernández-Pinos, B Piña, M Vila-Costa, M Casado…	https://www.tdx.cat/bitstream/handle/10803/396619/TMCFP1de1.pdf?sequence=5.xml#page=154
missing_year	Responses of psbA, hli and ptox genes to changes in irradiance in marine Synechococcus and Prochlorococcus	2011	The role of persistent organic pollutants on Prochlorococcus photosynthetic capability under the global change scenario		MC Fernández Pinos	https://upcommons.upc.edu/entities/publication/b632f8de-24d6-47af-881e-9c8cbc290452
missing_year	Cancer: A computational disease that AI can cure	2011	Spatio-temporal big data analysis of adherence behaviour in chronic disease		F Hu	https://researchspace.auckland.ac.nz/bitstreams/1d3c01fc-f519-4c0e-b24f-7b1ee72b4db7/download
missing_year	Cancer: A computational disease that AI can cure	2011	Thesis Consent Form		JST Woodhead	https://researchspace.auckland.ac.nz/server/api/core/bitstreams/af56099a-3658-4e7f-906e-77a98bf65ec7/content
missing_year	Cancer: A computational disease that AI can cure	2011	Transforming Healthcare with Artificial Intelligence		FN Cures	
missing_year	Cancer commons: biomedicine in the internet age	2011	Mining patterns in genomic and clinical cancer data to characterize novel driver genes		RD Melamed	https://search.proquest.com/openview/2808b8594cdcf7c73e1c4c1cc26f40aa/1?pq-origsite=gscholar&cbl=18750
missing_year	Cancer commons: biomedicine in the internet age	2011	Systems medicine approaches to cancer drug resistance and response, towards new clinical tools		KJ McCulloch	
missing_year	A melanoma molecular disease model	2011	The role of ERRFI1 in melanoma progression and resistance towards targeted therapy		N Wang	https://archiv.ub.uni-heidelberg.de/volltextserver/36456/
missing_year	A melanoma molecular disease model	2011	Emerging Advances in the Molecular Landscape of Melanoma and Their Implications for Precision Medicine		A Ahmed, M Alahmadi, Z Khawaji, S Alghamdi	https://www.researchgate.net/profile/Mohammed-Alahmadi-6/publication/403660406_Emerging_Advances_in_the_Molecular_Landscape_of_Melanoma_and_Their_Implications_for_Precision_Medicine/links/69d9fe785970dd1b05f7c18a/Emerging-Advances-in-the-Molecular-Landscape-of-Melanoma-and-Their-Implications-for-Precision-Medicine.pdf
missing_year	A melanoma molecular disease model	2011	p53 Signalweg in Schleimhautmelanomen und kutanen Melanomen		MK Fritsche	https://mediatum.ub.tum.de/1453125
missing_year	A melanoma molecular disease model	2011	Analyse der Genexpression verschiedener Kandidatengene und der Methylierung im Xiphophorus Melanom		M Hausmann	https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/20525
missing_year	A melanoma molecular disease model	2011	Identification of Melanotransferrin (MTf), as a Novel Pro-Oncogenic Signalling Protein Involved in Melanoma Pathogenesis		J Paluncic	https://ses.library.usyd.edu.au/handle/2123/21152
missing_year	A melanoma molecular disease model	2011	Characterisation of TRIM16 as a putative tumour suppressor protein and drug target in melanoma		S Sutton	https://scholar.archive.org/work/pldynmznkvbxjnp3wvl63zkqzq/access/wayback/https://unsworks.unsw.edu.au/server/api/core/bitstreams/9f6c4dee-4954-4dc2-853b-e46ebfcd9ca5/content
missing_year	A melanoma molecular disease model	2011	Molecular Studies in Different Types of Melanoma Tumors-Correlations to Clinical Data		A Zebary	https://search.proquest.com/openview/9a0d317022a045f7d98adec7a124c4a4/1?pq-origsite=gscholar&cbl=2026366&diss=y
missing_year	A melanoma molecular disease model	2011	Actionable gene expression based patient stratification for moleculr targeted therapy in HCC		JH Kwon, N Lee, JY Park, Y suk Yu, JP Kim, DS Kim…	https://poasis.postech.ac.kr/handle/2014.oak/12690
missing_year	A melanoma molecular disease model	2011	From cell surface to nucleus: Unraveling cancer metastasis and the role of nucleophosmin in breast cancer		PR Karhemo	https://helda.helsinki.fi/server/api/core/bitstreams/9fa43392-3273-481e-81cd-79428871c484/content
missing_year	A melanoma molecular disease model	2011	Федеральное государственное бюджетное учреждение науки Институт Африки Российской академии наук		КФ Апуули, ТП ЮАР	https://www.inafran.ru/sites/default/files/news_file/nl_2-2024.pdf
missing_year	A melanoma molecular disease model	2011	DÉVELOPPEMENT DE BIOSENSEURS FLUORESCENTS ET D'INHIBITEURS POUR SUIVRE ET CIBLER CDK4/CYCLINE D DANS LE MÉLANOME		MM MORRIS	
missing_year	From wizards to trading zones: Crossing the chasm of computers in scientific collaboration	2010	Computational thinking and social science: Combining programming, methodologies and fundamental concepts		M Nelimarkka	https://www.torrossa.com/gs/resourceProxy?an=5409493&publisher=FZ7200
missing_year	From wizards to trading zones: Crossing the chasm of computers in scientific collaboration	2010	Coding and Expertise		A Preda	https://academic.oup.com/edited-volume/55209/chapter/455229924
missing_year	From wizards to trading zones: Crossing the chasm of computers in scientific collaboration	2010	Credibility-building for social science big data		J Pääkkönen	https://helda.helsinki.fi/items/92b0a14a-1a27-4bc2-984f-a9652c8f244d
missing_year	Targeted Therapy Database (TTD): a model to match patient's molecular profile with current knowledge on cancer biology	2010	Tools for extracting actionable medical knowledge from genomic big data		TC Goldstein	https://search.proquest.com/openview/d7b6c8189b8f01dddc7a4408258c88a1/1?pq-origsite=gscholar&cbl=18750
missing_year	Targeted Therapy Database (TTD): a model to match patient's molecular profile with current knowledge on cancer biology	2010	Der Einfluss der Hypoxie auf die Expression und Synthese verschiedener Eph-Rezeptoren und Ephrin-Liganden beim malignen Melanom		B Reißenweber	https://tud.qucosa.de/en/landing-page/https%3A%2F%2Ftud.qucosa.de%2Fapi%2Fqucosa%253A26367%2Fmets/
missing_year	The promise and perils of pre-publication review: A multi-agent simulation of biomedical discovery under varying levels of review stringency	2010	Simulating discovery and education in a soccer science world.		JE Shrager	https://psycnet.apa.org/fulltext/2011-23733-007.pdf
missing_year	Soccer science and the Bayes community: Exploring the cognitive implications of modern scientific communication	2010	A professor at the end of time: The work and future of the professoriate		J Best	https://books.google.com/books?hl=en&lr=&id=crKrDgAAQBAJ&oi=fnd&pg=PP1&ots=s7hwt8jDd-&sig=2cCojBL7eYOMQpervXnCYj-v61k
missing_year	Soccer science and the Bayes community: Exploring the cognitive implications of modern scientific communication	2010	Epistemologia serviciilor de informaţii		N Sfetcu	https://books.google.com/books?hl=en&lr=&id=dsOHDwAAQBAJ&oi=fnd&pg=PA2&ots=AVHEGZAKRv&sig=jM8GvLm1aQ4QgwzKHxyFsBr9Bpw
missing_year	Soccer science and the Bayes community: Exploring the cognitive implications of modern scientific communication	2010	Méthodologies dans le renseignement		S Nicolae	https://www.researchgate.net/profile/Nicolae-Sfetcu/publication/352020185_Methodologies_dans_le_renseignement/links/60b6049192851cde88477891/Methodologies-dans-le-renseignement.pdf
missing_year	Soccer science and the Bayes community: Exploring the cognitive implications of modern scientific communication	2010	Simulating discovery and education in a soccer science world.		JE Shrager	https://psycnet.apa.org/fulltext/2011-23733-007.pdf
missing_year	Soccer science and the Bayes community: Exploring the cognitive implications of modern scientific communication	2010	Analogia activității de informații cu știința, arheologia, afacerile și medicina		N Sfetcu	https://www.academia.edu/download/62204648/Nicolae_Sfetcu-Analogia_activitatii_de_informatii_cu_stiinta_arheologia_afacerile_si_medicina20200226-115041-3xq1pq.pdf
missing_year	Soccer science and the Bayes community: Exploring the cognitive implications of modern scientific communication	2010	MIT Industrial Liaison Program		M Klein	
missing_year	BioBIKE: a Web-based, programmable, integrated biological knowledge base	2009	Practical chemoinformatics		M Karthikeyan, R Vyas	https://books.google.com/books?hl=en&lr=&id=PnglBAAAQBAJ&oi=fnd&pg=PA75&ots=BXJnNm0Blr&sig=FUDM9xGKOu5QyFbr8l1RQNWuP78
missing_year	BioBIKE: a Web-based, programmable, integrated biological knowledge base	2009	Computational biology		R Wünschiers	https://link.springer.com/content/pdf/10.1007/978-3-031-70314-0.pdf
missing_year	BioBIKE: a Web-based, programmable, integrated biological knowledge base	2009	Genomes of N		J Elhai	https://link.springer.com/content/pdf/10.1186/s12864-026-12517-0_reference.pdf
